date,ticker,close,high,low,open,volume,daily_return,sma_50d,vol_30d,is_benchmark
2011-09-12,BMO.TO,30.691604614257812,30.877131634987116,30.378857620676378,30.744611756725366,1737600,,,,0
2011-09-13,BMO.TO,31.025543212890625,31.083852263994075,30.580276485118734,30.723398149983865,1398200,0.010880454209868162,,,0
2011-09-14,BMO.TO,31.057348251342773,31.354193406253756,31.04674642201465,31.2746806973389,2023000,0.001025124305927827,,,0
2011-09-15,BMO.TO,31.52912139892578,31.53972322921694,31.168667257395914,31.423105118106577,2841700,0.01519038727212041,,,0
2011-09-16,BMO.TO,31.036157608032227,31.767667961702177,31.03615760803223,31.69875705321692,3891800,-0.015635189596826193,,,0
2011-09-19,BMO.TO,30.919523239135742,30.993734009679468,30.590872652310882,30.771099675956442,967100,-0.003758015743105414,,,0
2011-09-20,BMO.TO,30.898344039916992,31.20578919295193,30.7446204523528,31.014960190747203,1034900,-0.0006849781950046818,,,0
2011-09-21,BMO.TO,30.378847122192383,31.014940700349864,30.28343268105033,30.87712096430699,1754200,-0.016813099014415855,,,0
2011-09-22,BMO.TO,29.843469619750977,29.986591299462916,29.323992053810837,29.97598946888139,2860600,-0.017623364714531964,,,0
2011-09-23,BMO.TO,29.66326141357422,29.944205047468643,29.408823384040673,29.424725128982235,2518700,-0.006038446885461735,,,0
2011-09-26,BMO.TO,30.898344039916992,30.898344039916992,29.498934053206916,30.018411880267873,2728100,0.04163677786885511,,,0
2011-09-27,BMO.TO,31.036157608032227,31.60864449927646,30.908939646928868,31.142173923680385,2715100,0.004460225050805233,,,0
2011-09-28,BMO.TO,30.76580810546875,31.27468383166485,30.712798953515577,31.27468383166485,1282000,-0.00871079165075217,,,0
2011-09-29,BMO.TO,31.242877960205078,31.242877960205078,30.887725745857495,31.041449251511985,1780600,0.015506495168301049,,,0
2011-09-30,BMO.TO,31.09977149963379,31.3542115062059,30.776424617881222,30.882438928177354,1700000,-0.004580450647138412,,,0
2011-10-03,BMO.TO,30.294036865234375,30.82411623629995,30.034297083691623,30.649189073243996,2660700,-0.025908056411568903,,,0
2011-10-04,BMO.TO,30.17742156982422,30.17742156982422,29.164969957586745,29.790463835523248,2300000,-0.003849447200745426,,,0
2011-10-05,BMO.TO,30.564382553100586,30.808218627139862,29.71625619901061,30.214530179276878,1800000,0.01282286435178115,,,0
2011-10-06,BMO.TO,30.877119064331055,31.00963888864149,30.426552470512398,30.691592119133265,1500000,0.01023205722173981,,,0
2011-10-07,BMO.TO,30.47954750061035,31.00962658757749,30.47954750061035,30.903610365765815,1200000,-0.01287592805832638,,,0
2011-10-11,BMO.TO,30.85062026977539,31.11565995934031,30.781709384302648,31.11565995934031,1100000,0.012174484190016654,,,0
2011-10-12,BMO.TO,31.14217185974121,31.274691739995433,30.855928433089808,31.062659122751523,1800000,0.009450428789318677,,,0
2011-10-13,BMO.TO,31.07324981689453,31.131558866839015,30.744601197861815,31.131558866839015,1400000,-0.002213141818017461,,,0
2011-10-14,BMO.TO,31.057348251342773,31.25347703868265,30.78170675508805,31.221673572790454,863000,-0.0005117445277034172,,,0
2011-10-17,BMO.TO,30.898344039916992,31.184587543224083,30.771124031082692,31.131578363670858,962000,-0.005119696959926645,,,0
2011-10-18,BMO.TO,31.173978805541992,31.27469319125527,30.7711172185029,30.85062995918227,1354600,0.008920697020814883,,,0
2011-10-19,BMO.TO,31.004344940185547,31.269384639710808,30.956637713387305,31.014944748725217,2800000,-0.0054415211614338155,,,0
2011-10-20,BMO.TO,31.205774307250977,31.301188762838972,30.855921977459147,31.020247322547913,1943300,0.006496810929372376,,,0
2011-10-21,BMO.TO,31.439014434814453,31.492021573552577,31.248185500008834,31.486721668515855,1677500,0.0074742618230523306,,,0
2011-10-24,BMO.TO,31.725250244140625,31.72525024414063,31.470812383108683,31.518519608432946,2091000,0.009104477811149314,,,0
2011-10-25,BMO.TO,31.53972625732422,31.730555176701667,31.460213533552764,31.645742548321977,2070900,-0.005847833677865788,,0.2087437317084073,0
2011-10-26,BMO.TO,31.661638259887695,31.72524721354626,31.550322085462156,31.714647406346646,1595600,0.0038653475166152695,,0.20683752522419754,0
2011-10-27,BMO.TO,32.12282180786133,32.212936388142474,31.7835711994707,32.038009155763675,4257900,0.014566003950525541,,0.21067686523812706,0
2011-10-28,BMO.TO,32.036991119384766,32.28367652564728,31.978000686208564,32.09597950683919,1918400,-0.0026719535721346777,,0.20669968863622432,0
2011-10-31,BMO.TO,31.5811824798584,32.07991757322712,31.5811824798584,31.854683425627524,1408900,-0.014227573301993646,,0.20577630705010913,0
2011-11-01,BMO.TO,30.787492752075195,31.291589616448693,30.787492752075195,31.130707812561248,2572200,-0.025131729259643687,,0.21868437921684747,0
2011-11-02,BMO.TO,31.14142417907715,31.25404120337797,30.905464407343633,30.996629985380725,1835100,0.01149594836617851,,0.2212127009024729,0
2011-11-03,BMO.TO,31.479284286499023,31.575813770394063,31.066353059997567,31.31303860963024,2040600,0.010849218246379078,,0.2170467683011097,0
